t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1
1605.16,-0,0,-0,0,-0,0,-0,0
1605.21,-0,0,-0,0,-0,0.0101283,-0.0199418,0.0599017
1605.26,-0,0,-0,0,-0,0.0101283,-0.0199418,0.0599017
1605.3,-0,0,-0,0.0431176,-0,0.0101283,-0.0199418,0.0599017
1605.35,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.4,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.45,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.5,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.54,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.59,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.64,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.69,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.74,-0,0,-0.00153398,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.78,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.83,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.88,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.93,-0,0,-0.00153398,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1605.98,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.02,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.07,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.12,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.17,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.22,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.26,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.31,-0,0,-0.00153398,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.36,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.41,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.46,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.5,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.55,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0599017
1606.6,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.0697406
1606.65,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.07003
1606.7,-0,0,-0,0.0668468,-0,0.0101283,-0.0199418,0.07003
1606.74,-0,0,-0,0.07003,-0,0.0101283,-0.0199418,0.07003
1606.79,-0,0,-0,0.0697406,-0,0.0101283,-0.0199418,0.07003
1606.84,-0,0,-0,0.0697406,-0,0.0101283,-0.0199418,0.07003
1606.89,-0,0,-0,0.0697406,-0,0.0101283,-0.0122718,0.0876821
1606.94,-0,0,-0,0.0697406,-0,0.0101283,-0.0199418,0.107649
1606.98,-0,0,-0,0.0830521,-0,0.0101283,-0.0199418,0.109964
1607.03,-0,0,-0,0.10273,-0,0.0101283,-0.0199418,0.154818
1607.08,-0,0,-0,0.109386,-0,0.0101283,-0.0199418,0.185493
1607.13,-0,0,-0,0.143243,-0,0.0101283,-0.0276117,0.207485
1607.18,-0,0,-0,0.177969,-0,0.0101283,-0.0214757,0.209511
1607.22,-0,0,-0,0.202277,-0,0.0101283,-0.0199418,0.229189
1607.27,-0,0,-0,0.208643,-0,0.0101283,-0.0199418,0.255523
1607.32,-0,0,-0,0.22398,-0,0.0101283,-0.0199418,0.287065
1607.37,-0,0,-0,0.248577,-0,0.0101283,-0.0199418,0.307611
1607.42,-0,0,-0,0.278962,-0,0.0101283,-0.0199418,0.337128
1607.46,-0,0,-0,0.301245,-0,0.0101283,-0.0199418,0.347835
1607.51,-0,0,-0,0.32208,-0,0.0101283,-0.0199418,0.375615
1607.56,-0,0,-0,0.329314,-0,0.0101283,-0.0122718,0.414971
1607.61,-0,0,-0,0.344362,-0,0.0101283,-0.0184078,0.419022
1607.66,-0,0,-0,0.365487,-0,0.0196778,-0.0199418,0.453458
1607.7,-0,0,0.00153398,0.368091,-0,0.0199672,-0.0199418,0.48529
1607.75,-0,0,0.00153398,0.381113,-0,0.0199672,-0.0199418,0.497155
1607.8,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.519148
1607.85,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0184078,0.545481
1607.9,-0,0,-0,0.384586,-0,0.0199672,-0.0199418,0.557056
1607.94,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.577603
1607.99,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.599017
1608.04,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.607698
1608.09,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.621009
1608.14,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.621588
1608.18,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.620431
1608.23,-0,0,0.00153398,0.384586,-0,0.0185203,-0.0199418,0.620141
1608.28,-0,0,0.00153398,0.384586,-0,0.0104177,-0.0199418,0.621588
1608.33,-0,0,-0,0.384586,-0,0.0101283,-0.0199418,0.620141
1608.38,-0,0,0.00153398,0.384586,-0,0.0101283,-0.0199418,0.627955
1608.42,-0,0,0.00153398,0.384586,-0,0.0101283,-0.0199418,0.567474
1608.47,-0,0,0.00153398,0.384586,-0,0.0101283,-0.0199418,0.449986
1608.52,-0,0,0.00153398,0.384586,-0,0.0101283,-0.0199418,0.32671
1608.57,-0,0,0.00153398,0.384586,-0,0.0101283,-0.0199418,0.273464
1608.62,-0,0,-0,0.356806,-0,0.0101283,-0.0199418,0.199672
1608.66,-0,0,-0.00153398,0.287644,-0,0.0101283,-0.0199418,0.16784
1608.71,-0,0,-0,0.220508,-0,0.0101283,-0.0199418,0.105913
1608.76,-0,0,-0,0.174786,-0,0.0101283,-0.0199418,0.0827627
1608.81,-0,0,-0,0.122987,-0,0.0101283,-0.0199418,0.043407
1608.86,-0,0,-0,0.0876821,-0,0.0101283,-0.0199418,0.0326999
1608.9,-0,0,-0,0.0532459,-0,0.0101283,-0.0199418,0.00463008
1608.95,-0,0,-0,0.0353044,-0,0.0101283,-0.0199418,0.00028938
1609,-0,0,-0,0.012154,-0,0.0101283,-0.0199418,0
1609.05,-0,0,-0,0.00173628,-0,0.0101283,-0.0122718,0
1609.1,-0,0,-0,0,-0,0.0101283,-0.00153398,0
1609.14,-0,0,-0,0,-0,0.0101283,-0.00920388,0
1609.19,-0,0,-0,0,-0,0.0101283,-0.0107379,0
1609.24,-0,0,-0,0,-0,0.0101283,-0.0107379,0
1609.29,-0,0,-0,0,-0,0.0101283,-0.0184078,0
1609.34,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.38,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.43,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.48,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.53,-0,0,-0,0,-0,0.0101283,-0.0184078,0
1609.58,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.62,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.67,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.72,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.77,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.82,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.86,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.91,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1609.96,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1610.01,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1610.06,-0,0,-0,0,-0,0.0101283,-0.0199418,0.0159159
1610.1,-0,0,-0,0,-0,0.0101283,-0.0199418,0.0353044
1610.15,-0,0,-0,0.012154,-0,0.0179416,-0.0199418,0.0671362
1610.2,-0,0,-0,0.0309637,-0,0.0118646,-0.0276117,0.105045
1610.25,-0,0,-0,0.0596123,-0,0.0101283,-0.0199418,0.127327
1610.3,-0,0,-0,0.0960742,-0,0.0101283,-0.0199418,0.166683
1610.34,-0,0,-0,0.122118,-0,0.0196778,-0.0199418,0.20517
1610.39,-0,0,-0,0.157133,-0,0.0199672,-0.0276117,0.217035
1610.44,-0,0,-0,0.195621,-0,0.0199672,-0.0199418,0.253497
1610.49,-0,0,-0,0.214141,-0,0.0199672,-0.0199418,0.287065
1610.54,-0,0,-0,0.244237,-0,0.0199672,-0.0199418,0.31716
1610.58,-0,0,-0,0.278384,-0,0.0199672,-0.0199418,0.34552
1610.63,-0,0,-0,0.30819,-0,0.0199672,-0.0199418,0.367513
1610.68,-0,0,0.00153398,0.328157,-0,0.0199672,-0.0199418,0.38748
1610.73,-0,0,-0,0.340311,-0,0.0199672,-0.0199418,0.416997
1610.78,-0,0,-0,0.351307,-0,0.0199672,-0.0199418,0.427414
1610.82,-0,0,-0,0.366355,-0,0.0199672,-0.0199418,0.455484
1610.87,-0,0,0.00153398,0.371275,-0,0.0199672,-0.0199418,0.496576
1610.92,-0,0,0.00153398,0.381403,-0,0.0199672,-0.0199418,0.515965
1610.97,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.535932
1611.02,-0,0,0.00153398,0.384586,-0,0.0199672,-0.0199418,0.547796
1611.06,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.559661
1611.11,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.577603
1611.16,-0,0,-0,0.384875,-0,0.0199672,-0.0199418,0.589467
1611.21,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.590046
1611.26,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.590046
1611.3,-0,0,-0,0.384875,-0,0.0199672,-0.0199418,0.609145
1611.35,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.609724
1611.4,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.592361
1611.45,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.590046
1611.5,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.590046
1611.54,-0,0,0.00153398,0.384875,-0,0.0199672,-0.0199418,0.580496
1611.59,-0,0,0.00153398,0.384875,-0.0076699,0.0199672,-0.0199418,0.548086
1611.64,-0,0,0.00153398,0.384875,-0.00153398,0.0199672,-0.0199418,0.493682
1611.69,-0,0,0.00153398,0.384875,-0,0.0185203,-0.0199418,0.336549
1611.74,-0,0,0.00153398,0.384875,-0,0.0118646,-0.0199418,0.215009
1611.78,-0,0,-0,0.362593,-0,0.0101283,-0.0199418,0.138324
1611.83,-0,0,-0.00153398,0.279541,-0,0.0101283,-0.0199418,0.107649
1611.88,-0,0,0.00153398,0.177101,-0,0.0101283,-0.0199418,0.0827627
1611.93,-0,0,-0,0.114305,-0,0.0101283,-0.0199418,0.0720556
1611.98,-0,0,-0,0.0879715,-0,0.0101283,-0.0199418,0.0544034
1612.02,-0,0,-0,0.07466,-0,0.0101283,-0.0122718,0.0326999
1612.07,-0,0,-0,0.0590335,-0,0.0101283,-0.0199418,0.0124433
1612.12,-0,0,-0,0.0384875,-0,0.0101283,-0.0199418,0.00057876
1612.17,-0,0,-0,0.0176522,-0,0.0101283,-0.0199418,0
1612.22,-0,0,-0,0.00405132,-0,0.0101283,-0.0199418,0
1612.26,-0,0,-0,0.00057876,-0,0.0101283,-0.0122718,0
1612.31,-0,0,-0,0,-0,0.00202566,-0.0199418,0
1612.36,-0,0,-0,0,-0,0,-0.0184078,0
1612.41,-0,0,-0,0,-0,0,-0.0199418,0
1612.46,-0,0,-0,0,-0,0,-0.0199418,0
1612.5,-0,0,-0,0,-0,0,-0.0199418,0
1612.55,-0,0,-0,0,-0,0.00954954,-0.0199418,0
1612.6,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1612.65,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1612.7,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1612.74,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1612.79,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1612.84,-0,0,-0,0,-0,0.0115752,-0.0199418,0
1612.89,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1612.94,-0,0,-0,0,-0,0.0101283,-0.0276117,0
1612.98,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.03,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.08,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.13,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.18,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.22,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.27,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.32,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.37,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.42,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.46,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.51,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.56,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.61,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1613.66,-0,0,-0,0,-0,0.0101283,-0.0199418,0.0367513
1613.7,-0,0,-0,0,-0,0.0196778,-0.0199418,0.0943379
1613.75,-0,0,-0,0.0277805,-0,0.0199672,-0.0199418,0.098968
1613.8,-0,0,-0,0.0792901,-0,0.0199672,-0.0199418,0.133694
1613.85,-0,0,-0,0.0986786,-0,0.0199672,-0.0122718,0.184624
1613.9,-0,0,-0,0.125012,-0,0.0199672,-0.0199418,0.217035
1613.94,-0,0,-0,0.171313,-0,0.0199672,-0.0199418,0.263046
1613.99,-0,0,-0.00153398,0.209511,-0,0.0199672,-0.0199418,0.305007
1614.04,-0,0,-0,0.251471,-0,0.0199672,-0.0199418,0.324974
1614.09,-0,0,-0,0.29401,-0,0.0199672,-0.0199418,0.347545
1614.14,-0,0,-0,0.315135,-0,0.0199672,-0.0199418,0.367513
1614.18,-0,0,-0,0.329025,-0,0.0199672,-0.0199418,0.398766
1614.23,-0,0,-0,0.340021,-0,0.0199672,-0.0199418,0.415839
1614.28,-0,0,-0,0.356806,-0,0.0199672,-0.0199418,0.437543
1614.33,-0,0,-0,0.366066,-0,0.0199672,-0.0199418,0.465612
1614.38,-0,0,-0,0.375326,-0,0.0199672,-0.0199418,0.489052
1614.42,-0,0,0.00153398,0.376483,-0,0.0199672,-0.0199418,0.518858
1614.47,-0,0,0.00153398,0.376773,-0,0.0199672,-0.0199418,0.527829
1614.52,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.547507
1614.57,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.557635
1614.62,-0,0,-0,0.377062,-0,0.0199672,-0.0199418,0.567764
1614.66,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0122718,0.5695
1614.71,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.570079
1614.76,-0,0,-0,0.377062,-0,0.0199672,-0.0199418,0.577892
1614.81,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.579628
1614.86,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.579917
1614.9,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.572104
