t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1
1797.44,-0,0,-0,0,-0,0,-0,0
1797.52,-0,0,-0,0,0.230097,0.0798689,-0.0398835,0.0899972
1797.6,-0,0,-0,0,0.230097,0.0798689,-0.0398835,0.0899972
1797.68,-0,0,-0,0.00491946,0.230097,0.0798689,-0.0398835,0.0899972
1797.76,-0,0,-0,0.0211247,0.230097,0.0798689,-0.0398835,0.0902866
1797.84,-0,0,-0,0.0413813,0.230097,0.0798689,-0.0398835,0.0899972
1797.92,-0,0,-0,0.0541141,0.230097,0.0798689,-0.0398835,0.0899972
1798,-0,0,-0,0.0570079,0.230097,0.0798689,-0.0398835,0.0899972
1798.08,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.16,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.24,-0,0,-0,0.0570079,0.230097,0.0798689,-0.0398835,0.0899972
1798.32,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.4,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.48,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.56,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.64,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.72,-0,0,-0,0.0570079,0.230097,0.0798689,-0.0398835,0.0980998
1798.8,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0917335
1798.88,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1798.96,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1799.04,-0,0,-0,0.0570079,0.230097,0.0798689,-0.0398835,0.0899972
1799.12,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0980998
1799.2,-0,0,-0,0.0572972,0.230097,0.0798689,-0.0398835,0.0899972
1799.28,-0,0,-0,0.0570079,0.230097,0.0798689,-0.0398835,0.100125
1799.36,-0,0,-0,0.0570079,0.230097,0.0798689,-0.0398835,0.100125
1799.44,-0,0,-0,0.0570079,0.230097,0.0879715,-0.0398835,0.100125
1799.52,-0,0,-0,0.0572972,0.230097,0.0897078,-0.0398835,0.100125
1799.6,-0,0,-0,0.0572972,0.230097,0.0899972,-0.0398835,0.109964
1799.68,-0,0,-0,0.0572972,0.230097,0.0899972,-0.0398835,0.109964
1799.76,-0,0,-0,0.0572972,0.230097,0.0998361,-0.0398835,0.137745
1799.84,-0,0,-0,0.0572972,0.230097,0.100125,-0.0398835,0.177679
1799.92,-0,0,-0,0.060191,0.230097,0.100125,-0.0398835,0.217035
1800,-0,0,-0,0.078422,0.230097,0.109675,-0.0398835,0.24742
1800.08,-0,0,-0,0.115752,0.230097,0.109964,-0.0398835,0.267966
1800.16,-0,0,-0,0.16813,0.230097,0.119514,-0.0398835,0.299219
1800.24,-0,0,-0,0.218482,0.230097,0.120093,-0.0398835,0.327578
1800.32,-0,0,-0,0.248867,0.230097,0.120093,-0.0398835,0.357384
1800.4,-0,0,-0,0.254944,0.230097,0.129932,-0.0398835,0.369538
1800.48,-0,0,-0,0.255233,0.230097,0.129932,-0.0398835,0.397608
1800.56,-0,0,-0,0.26131,0.230097,0.131668,-0.0398835,0.437543
1800.64,-0,0,-0,0.281277,0.230097,0.14006,-0.0398835,0.467638
1800.72,-0,0,-0,0.311083,0.230097,0.14006,-0.0398835,0.487605
1800.8,-0,0,-0,0.317739,0.230097,0.149609,-0.0398835,0.509309
1800.88,-0,0,-0,0.317739,0.230097,0.149899,-0.0398835,0.544034
1800.96,-0,0,-0,0.317739,0.230097,0.158001,-0.0398835,0.549822
1801.04,-0,0,-0,0.31745,0.230097,0.160027,-0.0398835,0.55995
1801.12,-0,0,-0,0.31745,0.230097,0.160027,-0.0398835,0.587152
1801.2,-0,0,-0,0.317739,0.230097,0.160027,-0.0398835,0.633453
1801.28,-0,0,-0,0.317739,0.230097,0.160027,-0.0398835,0.699142
1801.36,-0,0,-0,0.31745,0.230097,0.160027,-0.0398835,0.690171
1801.44,-0,0,-0,0.31745,0.230097,0.160317,-0.0398835,0.689882
1801.52,-0,0,-0,0.317739,0.230097,0.16813,-0.0398835,0.689882
1801.6,-0,0,-0,0.31745,0.230097,0.169866,-0.0398835,0.689882
1801.68,-0,0,-0,0.31745,0.230097,0.169866,-0.0398835,0.689882
1801.76,-0,0,-0,0.317739,0.230097,0.169866,-0.0398835,0.680043
1801.84,-0,0,-0,0.317739,0.230097,0.169866,-0.0398835,0.660365
1801.92,-0,0,-0,0.31745,0.230097,0.169866,-0.0398835,0.621299
1802,-0,0,-0,0.317739,0.230097,0.169866,-0.0398835,0.500338
1802.08,-0,0,-0,0.317739,0.230097,0.160027,-0.0398835,0.40137
1802.16,-0,0,-0,0.317739,0.230097,0.160027,-0.0475534,0.325263
