t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
7.29286,-0,0,-0,0,-0,0,-0,0,0,0,102.723,102.723
7.34082,-0,0,-0,0,-0.0107379,0,-0,0,0.0478957,0.0392683,102.723,102.723
7.38867,-0,0,-0,0,-0.0107379,0,-0.0076699,0,0.0462709,0.0314166,102.723,102.723
7.43679,-0,0,-0,0,-0.0107379,0,-0,0,0.0463249,0.0314006,102.723,102.723
7.48478,-0,0,-0,0,-0.0107379,0,-0.0076699,0,0.0458039,0.0330303,102.723,102.723
7.5327,-0,0,-0,0,-0.0107379,0,-0,0,0.0449555,0.0310484,102.723,102.723
7.58069,-0,0,-0,0,-0.0107379,0,-0,0,0.0423438,0.0289137,102.723,102.723
7.6287,-0,0,-0,0,-0.0107379,0,-0,0,0.0480104,0.0336303,102.723,102.723
7.67667,-0,0,-0,0,-0.0107379,0,-0,0,0.0436005,0.0320312,102.723,102.723
7.7247,-0,0,-0,0,-0.0107379,0,-0,0,0.0404104,0.0306431,102.723,102.723
7.77269,-0,0,-0,0,-0.0107379,0,-0,0,0.0409145,0.0285832,102.723,102.723
7.8207,-0,0,-0,0,-0.0107379,0,-0,0,0.0401248,0.025807,102.723,102.723
7.86866,-0,0,-0,0,-0.0107379,0,-0,0,0.0411582,0.0331813,102.723,102.723
7.91665,-0,0,-0,0,-0.0107379,0,-0,0,0.0388072,0.0280179,102.723,102.723
7.96471,-0,0,-0,0,-0.0107379,0,-0,0,0.0386135,0.0261151,102.723,102.723
8.0127,-0,0,-0,0,-0.0107379,0,-0.00153398,0,0.0396737,0.0241868,102.723,102.723
8.06065,-0,0,-0,0,-0.0107379,0,-0,0,0.0411218,0.0211896,102.723,102.723
8.10867,-0,0,-0,0,-0.0107379,0,-0,0,0.0393192,0.0277308,102.723,102.723
8.15661,-0,0,-0,0,-0.0107379,0,-0,0,0.0384838,0.0232809,102.723,102.723
8.20462,-0,0,-0,0,-0.0107379,0,-0.0076699,0,0.0365103,0.0197231,102.723,102.723
