t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
7.34139,-0,0,-0,0,-0,0,-0,0,0,0,102.723,102.723
7.42136,-0,0,-0,0,0.110447,0,0.0107379,0,0.0365787,0.0145945,102.723,102.723
7.50132,-0,0,-0,0,0.110447,0,0.0107379,0,0.0344819,0.0194165,102.723,102.723
7.58136,-0,0,-0,0,0.110447,0,0.0107379,0,0.0357491,0.0178326,102.723,102.723
7.66132,-0,0,-0,0,0.110447,0,0.0107379,0,0.0344819,0.0204695,102.723,102.723
7.74137,-0,0,-0,0,0.110447,0,0.0107379,0,0.0343074,0.019105,102.723,102.723
7.8213,-0,0,-0,0,0.110447,0,0.0107379,0,0.0385097,0.0197231,102.723,102.723
7.90133,-0,0,-0,0,0.110447,0,0.0107379,0,0.0424853,0.024779,102.723,102.723
7.98132,-0,0,-0,0,0.110447,0,0.0107379,0,0.0428369,0.0271662,102.723,102.723
8.06129,-0,0,-0,0,0.110447,0,0.0107379,0,0.0393446,0.0252389,102.723,102.723
8.14134,-0,0,-0,0,0.110447,0,0.0107379,0,0.0433705,0.023622,102.723,102.723
8.22135,-0,0,-0,0,0.110447,0,0.0107379,0,0.0449333,0.0271477,102.723,102.723
8.30134,-0,0,-0,0,0.110447,0,0.0107379,0,0.0457493,0.026,102.723,102.723
8.38132,-0,0,-0,0,0.110447,0,0.0107379,0,0.0430465,0.0275862,102.723,102.723
8.4614,-0,0,-0,0,0.110447,0,0.0107379,0,0.0436578,0.0314643,102.723,102.723
8.54141,-0,0,-0,0,0.110447,0,0.0107379,0,0.0494571,0.0291719,102.723,102.723
8.62134,-0,0,-0,0,0.110447,0,0.0107379,0,0.0478539,0.0336452,102.723,102.723
8.7013,-0,0,-0,0,0.110447,0,0.0107379,0,0.0494065,0.0367423,102.723,102.723
8.7814,-0,0,-0,0,0.110447,0,0.0107379,0,0.0503786,0.0315911,102.723,102.723
8.86129,-0,0,-0,0,0.110447,0,0.0107379,0,0.0495278,0.0430581,102.723,102.723
8.94135,-0,0,-0,0,0.110447,0,0.0107379,0,0.0532447,0.0340881,102.723,102.723
9.02143,-0,0,-0,0,0.110447,0,0.0107379,0,0.05006,0.0349142,102.723,102.723
9.10129,-0,0,-0,0,0.110447,0,0.0107379,0,0.0463141,0.0377094,102.723,102.723
9.18129,-0,0,-0,0,0.110447,0,0.0107379,0,0.0508626,0.0313209,102.723,102.723
9.26125,-0,0,-0,0,0.110447,0,0.0107379,0,0.045793,0.0346843,102.723,102.723
9.34131,-0,0,-0,0,0.110447,0,0.0107379,0,0.044911,0.0295635,102.723,102.723
9.42135,-0,0,-0,0,0.110447,0,0.0107379,0,0.0477807,0.0285657,102.723,102.723
9.50129,-0,0,-0,0,0.110447,0,0.0107379,0,0.0431856,0.0295804,102.723,102.723
9.5813,-0,0,-0,0,0.110447,0,0.0107379,0,0.0470532,0.0296142,102.723,102.723
9.6613,-0,0,-0,0,0.110447,0,0.0107379,0,0.0424382,0.0309516,102.723,102.723
9.74132,-0,0,-0,0,0.110447,0,0.0107379,0,0.0410244,0.0264197,102.723,102.723
9.82128,-0,0,-0,0,0.110447,0,0.0107379,0,0.0431509,0.0264386,102.723,102.723
9.90124,-0,0,-0,0,0.110447,0,0.0107379,0,0.0406079,0.0294449,102.723,102.723
9.98124,-0,0,-0,0,0.110447,0,0.0107379,0,0.0458039,0.0224944,102.723,102.723
10.0612,-0,0,-0,0,0.110447,0,0.0107379,0,0.0385357,0.0221585,102.723,102.723
