t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
7.30287,-0,0,-0,0,-0,0,-0,0,0,0,102.723,102.723
7.35087,-0,0,-0,0,0.0506214,0.0798689,-0,0.0899972,0.0131909,0.0168819,102.723,102.723
7.39882,-0,0,-0,0,0.0506214,0.0798689,-0,0.0899972,0.0135647,0.0166733,102.723,102.723
7.44687,0.0291456,0.0526672,-0,0.0599017,0.0506214,0.0798689,-0,0.0899972,0.0131529,0.0180555,98.0935,97.4576
7.4948,0.0429515,0.078422,-0,0.0894184,0.0506214,0.0798689,-0,0.0899972,0.0151327,0.0174929,95.8297,94.8631
7.54281,0.0490874,0.0792901,-0,0.0894184,0.0506214,0.0798689,-0,0.0899972,0.0144568,0.0146969,95.7534,94.8631
7.5908,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0142127,0.0167631,95.7279,94.8377
7.63878,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0131529,0.0166733,95.7279,94.8377
7.68681,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0136382,0.0182483,95.7025,94.8377
7.73479,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0135647,0.0166733,95.7025,94.8377
7.78281,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0127279,0.0166733,95.7279,94.8377
7.8308,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0131529,0.0168819,95.7025,94.8377
7.87878,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0127279,0.0174929,95.7025,94.8377
7.92681,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0140357,0.0168819,95.7279,94.8377
7.97485,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.014,0.0168819,95.7025,94.8377
8.02281,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0142127,0.0182483,95.7279,94.8377
8.07082,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0142127,0.0166733,95.7279,94.8377
8.11877,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0137477,0.0163095,95.7279,94.8377
8.16678,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0153948,0.0168819,95.7279,94.8377
8.21477,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0133417,0.0176635,95.7025,94.8377
8.26284,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0147309,0.0155242,95.7025,94.8377
8.31076,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0137477,0.0161245,95.7025,94.8377
8.35879,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0144568,0.0165831,95.7025,94.8377
8.40679,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.014,0.0177482,95.7025,94.8377
8.45478,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0148997,0.0165831,95.7279,94.8377
8.50276,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0152971,0.0184932,95.7025,94.8377
8.55074,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0155563,0.0167631,95.7025,94.8377
8.59876,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0153948,0.0179165,95.7279,94.8377
8.64677,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0144568,0.0160624,95.7025,94.8377
8.69475,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0142127,0.0152643,95.7025,94.8377
8.74274,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0140357,0.0177482,95.7279,94.8377
8.79079,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0159374,0.0182209,95.7025,94.8377
8.83876,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0146287,0.0177482,95.7025,94.8377
8.88673,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0140712,0.0174642,95.7279,94.8377
8.93474,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0153948,0.0174642,95.7025,94.8377
8.98276,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0155563,0.0180555,95.7025,94.8377
9.03077,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0140357,0.0176918,95.7279,94.8377
9.07873,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0150665,0.0172916,95.7279,94.8377
9.12672,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0147986,0.018412,95.7025,94.8377
9.17468,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0160624,0.018412,95.7279,94.8377
9.22271,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0155563,0.0178326,95.7279,94.8377
9.27071,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0153948,0.0171172,95.7279,94.8377
9.31871,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0153948,0.0171172,95.7025,94.8377
9.36667,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0160935,0.0188149,95.7025,94.8377
9.41472,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0155563,0.018412,95.7025,94.8377
9.46271,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0153948,0.0181384,95.7025,94.8377
9.51073,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0160935,0.015843,95.7025,94.8377
9.5587,0.0490874,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0150665,0.01772,95.7025,94.8377
9.60667,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0155563,0.0182483,95.7025,94.8377
9.65472,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0169115,0.0180555,95.7279,94.8377
9.70268,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0162481,0.0165529,95.7279,94.8377
9.75067,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0152971,0.0171172,95.7025,94.8377
9.79871,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0161245,0.0181934,95.7025,94.8377
9.8467,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0147986,0.017,95.7025,94.8377
9.89468,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0150665,0.0160312,95.7025,94.8377
9.94265,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0160935,0.0164317,95.7025,94.8377
9.99069,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0171172,0.0185742,95.7279,94.8377
10.0387,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0156844,0.0175499,95.7279,94.8377
10.0867,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.0798689,-0,0.0899972,0.0167631,0.0174929,95.7025,94.8377
10.1347,0.0506214,0.0795795,-0,0.0897078,0.0506214,0.0703193,-0,0.0899972,0.0166733,0.0168819,95.7279,94.8377
10.1827,0.0506214,0.0798689,-0,0.0897078,0.0506214,0.07003,-0,0.0899972,0.0164012,0.0175499,95.7025,94.8377
10.2307,0.0506214,0.0726344,-0,0.0897078,0.0506214,0.07003,-0,0.0899972,0.0162481,0.0171172,96.3384,94.8377
10.2787,0.0506214,0.0697406,-0,0.0897078,0.0506214,0.07003,-0,0.0899972,0.0161555,0.017,96.5928,94.8377
10.3267,0.0506214,0.07003,-0,0.0897078,0.0506214,0.07003,-0,0.0899972,0.0166132,0.0179722,96.5673,94.8377
10.3746,0.0506214,0.07003,-0,0.0897078,0.0506214,0.07003,-0,0.0899972,0.0162481,0.018412,96.5673,94.8377
10.4226,0.0506214,0.07003,-0,0.0897078,0.0506214,0.07003,-0,0.0899972,0.0160935,0.018412,96.5673,94.8377
10.4707,0.0506214,0.07003,-0,0.0897078,0.0506214,0.0604804,-0,0.0899972,0.0164012,0.0188149,96.5673,94.8377
10.5186,0.0506214,0.07003,-0,0.0897078,0.0582913,0.0599017,-0,0.0899972,0.0164012,0.0181384,96.5673,94.8377
10.5667,0.0506214,0.0627955,-0,0.0897078,0.0598252,0.0599017,-0,0.0899972,0.0162481,0.0171172,97.2032,94.8377
10.6146,0.0536893,0.0596123,-0,0.0897078,0.0690291,0.0520884,-0,0.0995467,0.0162481,0.018412,97.483,94.8377
10.6627,0.0567573,0.0599017,-0,0.0897078,0.111981,0.0419601,-0,0.0920228,0.0169115,0.0190263,97.4576,94.8377
10.7107,0.0613592,0.0541141,-0,0.0969423,0.12732,0.0321212,-0,0.0899972,0.0159374,0.0190263,97.9663,94.2018
10.7587,0.0951068,0.0445645,-0,0.0937591,0.167204,0.0124433,-0,0.0899972,0.0167631,0.0181384,98.8057,94.4816
10.8068,0.116583,0.0344362,-0,0.0905759,0.177942,0.00260442,-0,0.0899972,0.0160935,0.0187617,99.696,94.7614
10.8546,0.148796,0.0170734,-0,0.0897078,0.19635,0.00810264,-0,0.0899972,0.0164317,0.018412,101.222,94.8377
10.9027,0.16567,0.00491946,-0,0.0897078,0.227029,0.00028938,-0,0.0899972,0.0157797,0.0171172,102.29,94.8377
10.9506,0.182544,0.0057876,-0,0.0897078,0.271515,0,-0,0.0899972,0.0166433,0.0169115,102.214,94.8377
10.9986,0.210155,0.00202566,-0,0.0897078,0.289922,0,-0,0.0899972,0.0164012,0.018412,102.545,94.8377
11.0467,0.251573,0,-0,0.0897078,0.316,0,-0,0.0899972,0.0157797,0.0181384,102.723,94.8377
11.0947,0.277651,0,-0,0.0897078,0.337476,0,-0,0.0899972,0.0159374,0.0191311,102.723,94.8377
