t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
7.33275,-0,0,-0,0,-0,0,-0,0,0,0,102.723,102.723
7.41272,-0,0,-0,0,0.659612,0.0801583,-0.0874369,0,0.0199499,0.0207846,102.723,102.723
7.4927,-0,0,-0,0,0.659612,0.0798689,-0.079767,0,0.0193132,0.0173781,102.723,102.723
7.57272,0.0199418,0.00231504,-0,0,0.659612,0.0798689,-0.079767,0,0.0202731,0.0173781,102.519,102.723
7.6527,0.0552233,0.00897078,-0,0,0.659612,0.0798689,-0.079767,0,0.0202731,0.0197484,101.934,102.723
7.73274,0.0552233,0.0124433,-0,0,0.659612,0.0798689,-0.079767,0,0.0206398,0.0186011,101.629,102.723
7.81271,0.0552233,0.0124433,-0,0,0.659612,0.0879715,-0.079767,0,0.0196977,0.0192094,101.629,102.723
7.89276,0.0552233,0.0124433,-0,0,0.659612,0.0818945,-0.078233,0,0.0206155,0.0173781,101.629,102.723
7.97268,0.0552233,0.0124433,-0,0,0.659612,0.0801583,-0.079767,0,0.0193132,0.0186011,101.629,102.723
8.05267,0.0552233,0.0124433,-0,0,0.659612,0.0879715,-0.079767,0,0.019,0.0192094,101.629,102.723
8.13266,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.0193132,0.0164924,101.629,102.723
8.21266,0.0552233,0.0124433,-0,0,0.659612,0.0818945,-0.079767,0,0.0193391,0.0174929,101.629,102.723
8.29274,0.0552233,0.0124433,-0,0,0.659612,0.0801583,-0.079767,0,0.0193391,0.017,101.629,102.723
8.37269,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.0193132,0.0175499,101.629,102.723
8.45262,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.019799,0.0189737,101.629,102.723
8.53272,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.0193391,0.0156525,101.629,102.723
8.61271,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.0193132,0.0175499,101.629,102.723
8.69266,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.0194165,0.0182483,101.629,102.723
8.77264,0.0552233,0.0124433,-0,0,0.659612,0.0879715,-0.079767,0,0.019799,0.0162481,101.629,102.723
8.85264,0.0552233,0.0124433,-0,0,0.659612,0.0899972,-0.079767,0,0.0184932,0.0175499,101.629,102.723
8.93264,0.0552233,0.0124433,-0,0,0.659612,0.0980998,-0.079767,0,0.0197231,0.0172337,101.629,102.723
9.01263,0.0552233,0.0124433,-0,0,0.659612,0.127327,-0.079767,0,0.0199249,0.0164317,101.629,102.723
9.09265,0.0552233,0.0124433,-0,0,0.659612,0.147584,-0.079767,0,0.0186279,0.0178326,101.629,102.723
9.17258,0.0552233,0.016784,-0,0,0.659612,0.177679,-0.079767,0,0.018412,0.0164012,101.248,102.723
9.25256,0.0552233,0.0298061,-0,0,0.659612,0.187518,-0.079767,0,0.0184932,0.018412,100.103,102.723
9.33257,0.0552233,0.0515096,-0,0,0.659612,0.207775,-0.079767,0,0.0186279,0.0165529,98.1952,102.723
9.41262,0.0552233,0.0706087,-0,0,0.659612,0.227453,-0.079767,0,0.0188944,0.0165529,96.5165,102.723
9.4926,0.0552233,0.0804476,-0,0,0.659612,0.249446,-0.079767,0,0.0186279,0.01772,95.6516,102.723
9.57263,0.0552233,0.0818945,-0,0,0.659612,0.259574,-0.078233,0,0.0199249,0.015843,95.5245,102.723
9.65266,0.0552233,0.0818945,-0,0,0.648874,0.269702,-0.079767,0,0.0202237,0.0171172,95.5245,102.723
9.73261,0.0552233,0.0818945,-0,0,0.63967,0.28938,-0.079767,0,0.0195448,0.0178326,95.5245,102.723
9.81259,0.0552233,0.0818945,-0,0,0.63967,0.309637,-0.079767,0,0.0199249,0.0165529,95.5245,102.723
9.89257,0.0552233,0.0818945,-0,0,0.63967,0.339153,-0.0705631,0,0.019,0.0188149,95.5245,102.723
9.97263,0.0552233,0.0839202,-0,0,0.63967,0.349571,-0.078233,0,0.0181384,0.0165529,95.3464,102.723
10.0526,0.0552233,0.0911547,-0,0,0.63967,0.357963,-0.0705631,0,0.0188944,0.0161555,94.7105,102.723
10.1325,0.0552233,0.107649,-0,0,0.63967,0.351597,-0.0705631,0,0.0186279,0.0165529,93.2607,102.723
10.2125,0.0552233,0.131957,-0,0,0.63967,0.367802,-0.0705631,0,0.0179722,0.0164317,91.124,102.723
10.2925,0.0552233,0.162921,-0,0,0.63967,0.370117,-0.0705631,0,0.0184932,0.0171172,88.4024,102.723
10.3726,0.0552233,0.195042,-0,0,0.63967,0.379956,-0.0705631,0,0.0184662,0.0169115,85.579,102.723
10.4526,0.0552233,0.226874,-0,0,0.63967,0.389505,-0.0705631,0,0.0188149,0.0174642,82.781,102.723
10.5326,0.0552233,0.251182,-0,0,0.63967,0.390084,-0.0705631,0,0.0194422,0.0167332,80.6444,102.723
10.6125,0.0552233,0.26623,-0,0,0.63967,0.398187,-0.0705631,0,0.0190526,0.0173494,79.3217,102.723
10.6925,0.0552233,0.268834,-0,0,0.63967,0.399923,-0.0705631,0,0.0188149,0.0165529,79.0928,102.723
10.7725,0.0552233,0.268834,-0,0,0.63967,0.399923,-0.0705631,0,0.0194422,0.0160312,79.0928,102.723
10.8525,0.0552233,0.268834,-0,0,0.63967,0.39211,-0.0705631,0,0.0188149,0.0166733,79.0928,102.723
10.9325,0.0552233,0.268834,-0,0,0.638136,0.390084,-0.079767,0,0.0181659,0.0174642,79.0928,102.723
11.0125,0.0552233,0.268834,-0,0,0.63967,0.379956,-0.0705631,0,0.0194422,0.0147309,79.0928,102.723
11.0925,0.0552233,0.268834,-0,0,0.63967,0.323816,-0.0705631,0,0.0194422,0.01772,79.0928,102.723
11.1725,0.0552233,0.268834,-0,0,0.63967,0.310215,-0.079767,0,0.0194422,0.0182209,79.0928,102.723
11.2524,0.0552233,0.268834,-0,0,0.650408,0.284171,-0.078233,0,0.0184662,0.0173494,79.0928,102.723
11.3325,0.0552233,0.268834,-0,0,0.659612,0.564002,-0.0720971,0,0.0185742,0.0167332,79.0928,102.723
11.4125,0.0552233,0.268834,-0,0,0.659612,0.300955,-0.079767,0,0.0184662,0.0161555,79.0928,102.723
11.4925,0.0552233,0.274911,-0,0,0.659612,0.212116,-0.079767,0,0.0188149,0.0167332,78.5586,102.723
11.5725,0.0552233,0.278094,-0,0,0.667282,0.199383,-0.0720971,0,0.0188149,0.0167332,78.2789,102.723
11.6525,0.0552233,0.274622,-0,0,0.67035,0.182309,-0.079767,0,0.0190526,0.0180555,78.5841,102.723
11.7325,0.0552233,0.262178,-0,0,0.67035,0.170445,-0.079767,0,0.0184662,0.0171172,79.6778,102.723
11.8125,0.0552233,0.242211,-0,0,0.67035,0.162053,-0.079767,0,0.0186279,0.0178326,81.4329,102.723
11.8925,0.0552233,0.219639,-0,0,0.67035,0.140349,-0.0720971,0,0.0192094,0.01772,83.4169,102.723
11.9724,0.0552233,0.204013,-0,0,0.67035,0.125302,-0.0720971,0,0.0192094,0.0195192,84.7905,102.723
12.0524,0.0552233,0.198225,-0,0,0.67035,0.129932,-0.078233,0,0.0199499,0.0167929,85.2992,102.723
12.1324,0.0552233,0.193306,-0,0,0.67035,0.114016,-0.079767,0,0.0199249,0.0175499,85.7316,102.723
12.2124,0.0552233,0.183756,-0,0,0.67035,0.11662,-0.079767,0,0.0186279,0.0188149,86.571,102.723
12.2924,0.0552233,0.171602,-0,0,0.67035,0.120093,-0.079767,0,0.020025,0.0186011,87.6393,102.723
12.3724,0.0552233,0.160606,-0,0,0.67035,0.120093,-0.079767,0,0.0195448,0.0182483,88.6059,102.723
12.4524,0.0552233,0.157423,-0,0,0.67035,0.120093,-0.079767,0,0.0190788,0.017,88.8857,102.723
12.5324,0.0552233,0.157423,-0,0,0.67035,0.120093,-0.0720971,0,0.019,0.0181934,88.8857,102.723
12.6124,0.0552233,0.157133,-0,0,0.67035,0.120093,-0.079767,0,0.0194165,0.0173781,88.9111,102.723
12.6924,0.0552233,0.157133,-0,0,0.67035,0.120093,-0.079767,0,0.0197231,0.0184932,88.9111,102.723
12.7724,0.0552233,0.157133,-0,0,0.67035,0.120093,-0.079767,0,0.0201494,0.0196469,88.9111,102.723
12.8524,0.0552233,0.157423,-0,0,0.67035,0.129932,-0.079767,0,0.0199499,0.0199499,88.8857,102.723
12.9325,0.0552233,0.157133,-0,0,0.67035,0.129932,-0.0705631,0,0.0202731,0.0180278,88.9111,102.723
13.0124,0.0552233,0.157133,-0,0,0.67035,0.120382,-0.0705631,0,0.0202485,0.019105,88.9111,102.723
13.0924,0.0552233,0.157133,-0,0,0.661146,0.0926016,-0.0705631,0,0.0202485,0.0179722,88.9111,102.723
13.1725,0.0552233,0.157133,-0,0,0.659612,0.109675,-0.0705631,0,0.0187083,0.019105,88.9111,102.723
13.2524,0.0552233,0.156844,-0,0,0.659612,0.138613,-0.0705631,0,0.0206398,0.0202237,88.9365,102.723
13.3324,0.0552233,0.156555,-0,0,0.659612,0.129932,-0.078233,0,0.0211896,0.0183576,88.962,102.723
13.4124,0.0552233,0.156555,-0,0,0.659612,0.122118,-0.0705631,0,0.0211896,0.0190526,88.962,102.723
13.4924,0.0552233,0.156265,-0,0,0.659612,0.0960742,-0.0705631,0,0.0204695,0.0192094,88.9874,102.723
13.5724,0.0552233,0.156555,-0,0,0.659612,0.0642424,-0.0705631,0,0.0206155,0.019105,88.962,102.723
